"feature","Estimate_group","pvalue","fdr","sign_group","method","vs","fold_change","log2FC"
"Il18bp","Group_safe",0.62964421823381,0.999985228743128,"DMSO.LIPUS","DESeq2","DMSO vs DMSO.LIPUS",0.917635188766147,-0.124007379116643
"Il18rap","Group_safe",0.322400445885221,0.999985228743128,"DMSO.LIPUS","DESeq2","DMSO vs DMSO.LIPUS",0.885729547998131,-0.17506184681284
"Il1a","Group_safe",0.0194371314878483,0.999985228743128,"DMSO.LIPUS","DESeq2","DMSO vs DMSO.LIPUS",0.394858766399857,-1.34059137438301
"Il1b","Group_safe",0.0600623393805792,0.999985228743128,"DMSO.LIPUS","DESeq2","DMSO vs DMSO.LIPUS",0.742184078923393,-0.43015104171588
"Il1f9","Group_safe",NA,NA,"DMSO.LIPUS","DESeq2","DMSO vs DMSO.LIPUS",0.270476706379967,-1.88642374126829
"Il1r1","Group_safe",0.547710463609128,0.999985228743128,"DMSO.LIPUS","DESeq2","DMSO vs DMSO.LIPUS",0.951661435788979,-0.0714796849915732
"Il1r2","Group_safe",0.663315928652322,0.999985228743128,"DMSO.LIPUS","DESeq2","DMSO vs DMSO.LIPUS",0.798505067184268,-0.324626532111945
"Il1rap","Group_safe",0.183564102814639,0.999985228743128,"DMSO.LIPUS","DESeq2","DMSO vs DMSO.LIPUS",0.810388441747643,-0.303314497194845
"Il1rl1","Group_safe",0.127417953223593,0.999985228743128,"DMSO.LIPUS","DESeq2","DMSO vs DMSO.LIPUS",0.695581168464341,-0.52370921993531
"Il1rn","Group_safe",0.0289255287692718,0.999985228743128,"DMSO","DESeq2","DMSO vs DMSO.LIPUS",1.25071770008445,0.322756195061228
"Il20rb","Group_safe",0.836160335695585,0.999985228743128,"DMSO","DESeq2","DMSO vs DMSO.LIPUS",1.04476219784886,0.0631746025687524
"Il21r","Group_safe",0.0415735204112643,0.999985228743128,"DMSO.LIPUS","DESeq2","DMSO vs DMSO.LIPUS",0.486506883847177,-1.03946787626962
"Il23r","Group_safe",0.707982242789646,0.999985228743128,"DMSO.LIPUS","DESeq2","DMSO vs DMSO.LIPUS",0.851221999538825,-0.232392657610966
"Il27ra","Group_safe",0.028750082273706,0.999985228743128,"DMSO","DESeq2","DMSO vs DMSO.LIPUS",1.33165080833517,0.413215821801986
"Il2rb","Group_safe",0.152891014596699,0.999985228743128,"DMSO","DESeq2","DMSO vs DMSO.LIPUS",1.22691699238463,0.295037646127157
"Il2rg","Group_safe",0.618589149703801,0.999985228743128,"DMSO","DESeq2","DMSO vs DMSO.LIPUS",1.06803399440385,0.0949575672289656
"Il33","Group_safe",0.525228482200023,0.999985228743128,"DMSO.LIPUS","DESeq2","DMSO vs DMSO.LIPUS",0.920968795629055,-0.118775819302421
"Il34","Group_safe",0.529316952062236,0.999985228743128,"DMSO","DESeq2","DMSO vs DMSO.LIPUS",1.07385722888218,0.102802197349929
"Il3ra","Group_safe",0.711344705165116,0.999985228743128,"DMSO","DESeq2","DMSO vs DMSO.LIPUS",1.04154356622804,0.0587231864420286
"Il4i1","Group_safe",0.0692782520432286,0.999985228743128,"DMSO","DESeq2","DMSO vs DMSO.LIPUS",2.99030337321959,1.58029185660971
"Il4ra","Group_safe",0.615916610339161,0.999985228743128,"DMSO.LIPUS","DESeq2","DMSO vs DMSO.LIPUS",0.943374232280366,-0.0840978998594035
"Il6","Group_safe",NA,NA,"DMSO.LIPUS","DESeq2","DMSO vs DMSO.LIPUS",0.346465371441806,-1.52921692995842
"Il6ra","Group_safe",0.916173724290714,0.999985228743128,"DMSO.LIPUS","DESeq2","DMSO vs DMSO.LIPUS",0.987942535652775,-0.017500965971936
"Il6st","Group_safe",0.791508555184864,0.999985228743128,"DMSO","DESeq2","DMSO vs DMSO.LIPUS",1.02255900888888,0.0321840992794481
"Il7","Group_safe",0.635536023723703,0.999985228743128,"DMSO.LIPUS","DESeq2","DMSO vs DMSO.LIPUS",0.919099172852096,-0.121707554959002
"Ildr2","Group_safe",0.933824681798071,0.999985228743128,"DMSO.LIPUS","DESeq2","DMSO vs DMSO.LIPUS",0.991117588075298,-0.0128718632381869
"Ilf2","Group_safe",0.744237840031776,0.999985228743128,"DMSO","DESeq2","DMSO vs DMSO.LIPUS",1.01838603331344,0.02628453860209
"Ilf3","Group_safe",0.316681956674168,0.999985228743128,"DMSO","DESeq2","DMSO vs DMSO.LIPUS",1.05384968296819,0.075669101223925
"Ilk","Group_safe",0.344100446566063,0.999985228743128,"DMSO","DESeq2","DMSO vs DMSO.LIPUS",1.07674528396923,0.106677004741507
"Ilkap","Group_safe",0.796464998916993,0.999985228743128,"DMSO","DESeq2","DMSO vs DMSO.LIPUS",1.01458041383586,0.0208832150646176
"Ilvbl","Group_safe",0.720817980064177,0.999985228743128,"DMSO","DESeq2","DMSO vs DMSO.LIPUS",1.02928221526749,0.0416386039463404
"Immp1l","Group_safe",0.926637855020362,0.999985228743128,"DMSO","DESeq2","DMSO vs DMSO.LIPUS",1.00538930525438,0.0077542476783142
"Immp2l","Group_safe",0.92884968427295,0.999985228743128,"DMSO","DESeq2","DMSO vs DMSO.LIPUS",1.0128135076335,0.0183685508602454
"Immt","Group_safe",0.821305497044845,0.999985228743128,"DMSO","DESeq2","DMSO vs DMSO.LIPUS",1.01186730838895,0.0170201140633096
"Imp3","Group_safe",0.582131233396136,0.999985228743128,"DMSO.LIPUS","DESeq2","DMSO vs DMSO.LIPUS",0.950340774263718,-0.073483165460016
"Imp4","Group_safe",0.22173939250153,0.999985228743128,"DMSO","DESeq2","DMSO vs DMSO.LIPUS",1.06609935385083,0.092341894596721
